Pace,Intercept,Coef1,Coef2,Coef3,Coef4
EL,1111.6245911844676,-35.01259939298468,0.5916019671951158,-0.005023023269912746,1.6900232069239074e-05
M,1009.9104968142362,-33.00843297164567,0.5696263495261077,-0.004930527347487838,1.6891114138828378e-05
T,929.2324123006364,-30.098368229861034,0.5149537640256838,-0.0043927868247877816,1.4802713471206985e-05
I,996.2679395844402,-38.465301917692,0.7671644369446106,-0.007451978113829883,2.795289717283378e-05
R,1005.9074909330948,-40.7128865503877,0.8288693283243007,-0.008167427307772316,3.095572620737119e-05
